project_folder,score
001_helloworld,1.0
001_helloworld_lib,1.0
001_helloworld_with_header,1.0
002_stdin_echo,0.25
003_string_slicing,0.25
003_string_slicing_lib,0.5
004_nineality_sieve,0.5
004_nineality_sieve_lib,1.0
005_static_loop,1.0
005_static_loop_lib,1.0
006_static_alias,0.5
006_static_alias_lib,0.0
007_errno_pow,0.0
007_errno_pow_lib,0.0
008_long_run,0.0
008_long_run_lib,0.5
009_stack_buffer_overflow,0.25
009_stack_buffer_overflow_lib,0.5
010_integer_overflow,0.5
010_integer_overflow_lib,1.0
011_uninit_char_ptr,0.5
011_uninit_char_ptr_lib,0.0
012_uninit_int_ptr,0.5
012_uninit_int_ptr_lib,0.25
013_poor_quality_addition,0.5
013_poor_quality_addition_lib,0.0
014_dead_code,0.5
014_dead_code_lib,0.0
015_return_stack_buffer,0.5
015_return_stack_buffer_lib,0.5
016_divide_by_zero_float,0.0
016_divide_by_zero_float_lib,0.25
017_signed_length_confusion,0.5
017_signed_length_confusion_lib,0.5
018_stack_buffer_overflow_loop1,0.5
018_stack_buffer_overflow_loop1_lib,0.5
019_integer_overflow_char_max_multiply,0.0
019_integer_overflow_char_max_multiply_lib,0.0
020_stack_linked_list_lib,0.5
021_complex_goto,1.0
021_complex_goto_lib,1.0
022_stdlib_div,1.0
022_stdlib_div_lib,0.0
023_struct_and_errno,0.5
023_struct_and_errno_lib,0.0
024_struct_and_static,0.5
024_struct_and_static_lib,0.0
025_struct_and_errno_and_static,0.25
025_struct_and_errno_and_static_lib,0.0
026_goto_and_static,0.25
026_goto_and_static_lib,0.5
027_ctype_ascii,0.25
027_ctype_ascii_lib,0.25
028_strchr,0.0
028_strchr_lib,0.0
029_strcspn,1.0
029_strcspn_lib,0.5
030_mutable_buffer_overlap_extrahard,0.5
030_mutable_buffer_overlap_extrahard_lib,0.5
031_disjoint_arrays,0.5
031_disjoint_arrays_lib,0.25
032_comma_operator,1.0
032_comma_operator_lib,0.0
033_bitfield,0.5
033_bitfield_lib,0.0
034_cast_to_char_ptr_int,1.0
034_cast_to_char_ptr_int_lib,1.0
035_cast_to_char_ptr_float,1.0
035_cast_to_char_ptr_float_lib,1.0
036_cast_to_char_ptr_struct,1.0
036_cast_to_char_ptr_struct_lib,1.0
037_cast_to_char_ptr_int_no_strict_aliasing,1.0
037_cast_to_char_ptr_int_no_strict_aliasing_lib,0.5
038_cast_to_char_ptr_float_no_strict_aliasing,1.0
038_cast_to_char_ptr_float_no_strict_aliasing_lib,0.5
039_cast_to_char_ptr_struct_no_strict_aliasing,1.0
039_cast_to_char_ptr_struct_no_strict_aliasing_lib,0.5
040_storage_class_auto,1.0
040_storage_class_auto_lib,1.0
041_storage_class_register,1.0
041_storage_class_register_lib,1.0
042_float_union,0.0
042_float_union_lib,0.0
043_iso646_and_digraphs,1.0
043_iso646_and_digraphs_lib,1.0
